ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,8,2017,C,Y,775,4410902,5691
91901,8,2017,I,Y,0,0,0
91901,8,2017,R,Y,8201,6890667,840
91902,8,2017,A,Y,0,0,0
91902,8,2017,C,N,320,1698013,5306
91902,8,2017,I,Y,0,0,0
91902,8,2017,R,N,6240,3607322,578
91905,8,2017,A,Y,0,0,0
91905,8,2017,C,Y,0,0,0
91905,8,2017,I,Y,0,0,0
91905,8,2017,R,Y,287,186785,651
91906,8,2017,A,Y,0,0,0
91906,8,2017,C,Y,419,1581579,3775
91906,8,2017,I,Y,0,0,0
91906,8,2017,R,Y,1975,1449963,734
91910,8,2017,A,Y,0,0,0
91910,8,2017,C,Y,1633,13416718,8216
91910,8,2017,I,Y,42,26633561,634132
91910,8,2017,R,Y,25702,11739930,457
91911,8,2017,A,Y,0,0,0
91911,8,2017,C,Y,2084,15304590,7344
91911,8,2017,I,Y,0,0,0
91911,8,2017,R,Y,23783,10060355,423
91912,8,2017,A,Y,0,0,0
91912,8,2017,C,Y,0,0,0
91912,8,2017,I,Y,0,0,0
91912,8,2017,R,Y,0,0,0
91913,8,2017,A,Y,0,0,0
91913,8,2017,C,Y,0,0,0
91913,8,2017,I,Y,0,0,0
91913,8,2017,R,N,14987,24142622,1611
91914,8,2017,A,Y,0,0,0
91914,8,2017,C,N,461,3224171,6994
91914,8,2017,I,Y,0,0,0
91914,8,2017,R,N,5090,3335326,655
91915,8,2017,A,Y,0,0,0
91915,8,2017,C,Y,330,3882723,11766
91915,8,2017,I,Y,0,0,0
91915,8,2017,R,Y,9364,5453176,582
91916,8,2017,A,Y,0,0,0
91916,8,2017,C,Y,0,0,0
91916,8,2017,I,Y,0,0,0
91916,8,2017,R,Y,0,0,0
91917,8,2017,A,Y,0,0,0
91917,8,2017,C,Y,0,0,0
91917,8,2017,I,Y,0,0,0
91917,8,2017,R,N,220,192169,873
91931,8,2017,A,Y,0,0,0
91931,8,2017,C,Y,0,0,0
91931,8,2017,I,Y,0,0,0
91931,8,2017,R,Y,0,0,0
91932,8,2017,A,Y,0,0,0
91932,8,2017,C,N,400,1875256,4688
91932,8,2017,I,Y,0,0,0
91932,8,2017,R,N,10106,3406109,337
91934,8,2017,A,Y,0,0,0
91934,8,2017,C,Y,0,0,0
91934,8,2017,I,Y,0,0,0
91934,8,2017,R,Y,0,0,0
91935,8,2017,A,Y,0,0,0
91935,8,2017,C,Y,0,0,0
91935,8,2017,I,Y,0,0,0
91935,8,2017,R,N,2879,2446726,850
91941,8,2017,A,Y,0,0,0
91941,8,2017,C,N,340,2168660,6378
91941,8,2017,I,Y,0,0,0
91941,8,2017,R,N,12923,8166827,632
91942,8,2017,A,Y,0,0,0
91942,8,2017,C,N,1693,12070632,7130
91942,8,2017,I,Y,0,0,0
91942,8,2017,R,N,18091,10329222,571
91945,8,2017,A,Y,0,0,0
91945,8,2017,C,N,662,3930842,5938
91945,8,2017,I,Y,0,0,0
91945,8,2017,R,N,9283,4621045,498
91948,8,2017,A,Y,0,0,0
91948,8,2017,C,Y,0,0,0
91948,8,2017,I,Y,0,0,0
91948,8,2017,R,Y,0,0,0
91950,8,2017,A,Y,0,0,0
